number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,params_fastk_period,params_lower_KDJ,params_slowd_matype,params_slowd_period,params_slowk_matype,params_slowk_period,params_upper_KDJ,system_attrs_nsga2:generation,state
68,0.3509957911524475,0.3398922372879696,0.05415731279994418,2023-11-29 20:39:12.204979,2023-11-29 20:39:12.450938,0 days 00:00:00.245959,2,2.951718010125258,45,WMA,2.770570069085377,52,13,17,0,3,1,3,87,0,COMPLETE
69,,,,2023-11-29 20:39:12.452945,2023-11-29 20:39:12.713465,0 days 00:00:00.260520,1,2.7808512141684725,11,EMA,1.3667871883668798,22,16,14,2,5,0,5,85,0,FAIL
70,0.2461076681379382,0.15141203747053117,0.08991770953479432,2023-11-29 20:39:12.714468,2023-11-29 20:39:12.990963,0 days 00:00:00.276495,2,2.2639817842766536,36,SMA,2.4857448129426,51,16,30,1,3,2,4,85,0,COMPLETE
71,0.044432812136120874,-0.007554084901009623,-0.01189143469851416,2023-11-29 20:39:12.992408,2023-11-29 20:39:13.250280,0 days 00:00:00.257872,1,1.3166971884144234,26,EMA,1.4784152263939438,13,18,13,2,4,1,4,81,0,COMPLETE
72,0.16313736618985494,0.0590960295519679,0.07121190237632931,2023-11-29 20:39:13.251278,2023-11-29 20:39:13.518055,0 days 00:00:00.266777,1,1.523020564920324,25,SMA,2.151200379049894,49,19,29,1,5,2,5,82,0,COMPLETE
73,,,,2023-11-29 20:39:13.519055,2023-11-29 20:39:13.794347,0 days 00:00:00.275292,0,2.207674689973969,52,WMA,1.8954964427276664,21,18,20,1,5,0,5,78,0,FAIL
74,,,,2023-11-29 20:39:13.796337,2023-11-29 20:39:14.070157,0 days 00:00:00.273820,0,2.7529988096319964,59,EMA,1.7777678462011035,45,16,12,0,5,1,3,77,0,FAIL
75,-0.12611286925859674,-0.08925922640144032,-0.2343053423218261,2023-11-29 20:39:14.071154,2023-11-29 20:39:14.359072,0 days 00:00:00.287918,1,1.0038041954833377,17,WMA,1.2409977253603481,33,16,29,2,3,0,5,90,0,COMPLETE
76,-0.43041137770011934,-0.19375932707628932,-0.473283869194508,2023-11-29 20:39:14.360785,2023-11-29 20:39:14.637410,0 days 00:00:00.276625,0,1.0373363700054226,12,WMA,1.2563141918422376,35,15,29,1,3,0,5,80,0,COMPLETE
77,,,,2023-11-29 20:39:14.638441,2023-11-29 20:39:14.898959,0 days 00:00:00.260518,1,2.9766093165349417,31,EMA,2.0705895546027513,51,9,27,2,3,0,4,90,0,FAIL
78,0.17017773833685043,0.020483983403294503,0.06336880960722667,2023-11-29 20:39:14.900811,2023-11-29 20:39:15.173321,0 days 00:00:00.272510,0,1.2119842929810785,16,WMA,2.0837492581439623,43,16,19,0,4,0,4,87,0,COMPLETE
79,-0.21680308084831776,-0.13323284618905226,-0.34326303485464693,2023-11-29 20:39:15.175316,2023-11-29 20:39:15.462131,0 days 00:00:00.286815,0,1.2119842929810785,16,SMA,2.0837492581439623,25,16,28,1,4,0,4,87,1,COMPLETE
80,-0.5394703227936528,-0.19763814409257885,-0.19044530423270828,2023-11-29 20:39:15.463129,2023-11-29 20:39:15.716720,0 days 00:00:00.253591,1,1.413261772539095,53,WMA,2.4823270903949277,20,15,19,0,4,0,4,80,1,COMPLETE
81,-0.41742085225958014,-0.17789478351378427,-0.12020621367289834,2023-11-29 20:39:15.719395,2023-11-29 20:39:15.977406,0 days 00:00:00.258011,0,1.8511833960659367,35,WMA,2.050316837602255,14,10,11,2,4,0,3,74,1,COMPLETE
