number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
98,0.7578528089134269,0.5573868269883719,1.3322505703035383,2023-11-29 20:12:14.087846,2023-11-29 20:12:14.698554,0 days 00:00:00.610708,0,1.4191621977034663,55,WMA,2.5418402075425135,30,1,COMPLETE
99,0.8625427191477599,0.7655836452732416,2.447487671734627,2023-11-29 20:12:14.699551,2023-11-29 20:12:15.167576,0 days 00:00:00.468025,2,1.026622582410637,24,EMA,1.107741697118357,30,1,COMPLETE
100,0.8404777219150086,0.7482082845906832,2.0282781412420006,2023-11-29 20:12:15.168466,2023-11-29 20:12:15.731181,0 days 00:00:00.562715,2,2.084719296890812,23,EMA,2.7967426789341006,47,1,COMPLETE
101,-0.28378948512006513,-0.11283501075389953,-0.09289272631493418,2023-11-29 20:12:15.732182,2023-11-29 20:12:15.981968,0 days 00:00:00.249786,0,2.182288029806057,43,EMA,1.9102321179984123,57,1,COMPLETE
102,0.12170061415940196,0.022104440534708326,0.03253514234430341,2023-11-29 20:12:15.982967,2023-11-29 20:12:16.572622,0 days 00:00:00.589655,2,2.3617660061716483,19,EMA,2.9115132807169957,16,1,COMPLETE
103,0.7252929809783405,0.5153883259800738,1.4681892031903487,2023-11-29 20:12:16.573618,2023-11-29 20:12:17.167935,0 days 00:00:00.594317,0,1.4401922904052193,52,SMA,2.558507656115279,21,1,COMPLETE
104,0.17689863313265933,0.020592096392666532,0.06061162933691136,2023-11-29 20:12:17.168934,2023-11-29 20:12:17.699494,0 days 00:00:00.530560,2,1.295768501999682,58,EMA,2.668157948138396,57,1,COMPLETE
105,0.4734758762858063,0.27714343111004713,0.6272386026433451,2023-11-29 20:12:17.700491,2023-11-29 20:12:18.281851,0 days 00:00:00.581360,1,1.9418693743491882,15,WMA,1.9345553953621577,24,1,COMPLETE
106,0.5859295431253271,0.3037274563153275,1.110630453517522,2023-11-29 20:12:18.283032,2023-11-29 20:12:18.770157,0 days 00:00:00.487125,0,1.4523650661919159,38,SMA,1.345886370881095,23,1,COMPLETE
107,,,,2023-11-29 20:12:18.771122,2023-11-29 20:12:19.157295,0 days 00:00:00.386173,1,1.744930456749587,60,WMA,1.8767446415698397,44,1,FAIL
