uid,from_uid,value,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window
508,,3.833784500393129,64,4,44,120,72
509,,2.6676043190105645,64,20,40,120,68
510,,4.09204429593979,68,4,40,120,68
514,,3.578629834918175,68,4,40,144,64
515,,4.4322972054347805,64,4,40,120,68
516,,2.5498511984393173,64,8,56,120,68
518,,4.4322972054347805,64,4,40,120,68
519,,4.09204429593979,68,4,40,120,68
520,,3.8437247462517,64,4,44,120,64
522,,4.0135191330815445,64,8,40,120,68
527,,4.147616299781392,64,4,44,120,68
529,,4.4322972054347805,64,4,40,120,68
530,,2.71964828664774,64,8,44,120,68
531,,3.150548755185295,68,4,40,48,64
533,,4.4322972054347805,64,4,40,120,68
534,,2.5963501725446614,68,4,44,120,60
535,,4.391950886276888,64,4,36,120,68
536,,4.4322972054347805,64,4,40,120,68
538,,3.950289051604482,60,4,36,120,72
539,,4.4322972054347805,64,4,40,120,68
540,,3.8437247462517,64,4,44,120,64
541,,4.0135191330815445,64,8,40,120,68
545,,2.71964828664774,64,8,44,120,68
546,,3.9700718375424495,64,4,36,120,64
548,,4.140668817167323,60,4,44,120,68
549,,3.711948302506385,64,8,40,120,72
550,,4.4322972054347805,64,4,40,120,68
551,,3.950289051604482,60,4,36,120,72
553,,3.77196172743268,68,4,44,120,64
554,,4.4322972054347805,64,4,40,120,68
555,,4.0135191330815445,64,8,40,120,68
556,,3.950289051604482,60,4,36,120,72
557,,3.811936768578881,68,4,44,120,68
558,,4.057901658315853,64,4,40,120,64
559,,3.202963850550514,48,8,40,120,68
560,,4.4322972054347805,64,4,40,120,68
565,,3.251356835348992,68,4,36,120,64
566,,3.364669803919038,64,8,40,120,52
567,,4.140668817167323,60,4,44,120,68
568,,4.11109709844076,64,4,40,120,72
569,,2.9413467827798487,68,4,36,120,56
570,,4.4322972054347805,64,4,40,120,68
572,,4.4322972054347805,64,4,40,120,68
573,,4.424350506325201,60,4,40,120,68
574,,3.841158320506808,64,8,36,144,64
575,,4.09204429593979,68,4,40,120,68
576,,3.833784500393129,64,4,44,120,72
577,,3.971949145677128,60,8,40,120,68
578,,3.9700718375424495,64,4,36,120,64
580,,4.057901658315853,64,4,40,120,64
581,,4.424350506325201,60,4,40,120,68
582,,2.746952235160358,64,4,40,144,68
583,,2.9024714206125988,64,4,64,120,64
584,,3.044184201532788,40,8,36,120,68
585,,3.811936768578881,68,4,44,120,68
586,,4.4322972054347805,64,4,40,120,68
588,,3.731209226530388,68,4,40,120,72
589,,4.391950886276888,64,4,36,120,68
590,,4.057901658315853,64,4,40,120,64
593,,2.577647161191232,64,4,44,144,68
594,,3.251356835348992,68,4,36,120,64
595,,4.0135191330815445,64,8,40,120,68
596,,3.5995209902524268,68,4,48,120,68
597,,4.029164398200101,60,4,40,120,72
599,,3.6356146104430014,36,4,44,144,68
600,,4.424350506325201,60,4,40,120,68
601,,4.057901658315853,64,4,40,120,64
602,,3.5458886503342475,68,8,36,120,68
603,,3.3156612785106434,44,4,44,120,72
604,,4.4322972054347805,64,4,40,120,68
605,,3.9608739174823087,64,8,36,120,68
606,,4.057901658315853,64,4,40,120,64
608,,3.6093542263733434,68,8,40,120,68
609,,3.593258163186196,64,4,48,120,72
610,,4.147616299781392,64,4,44,120,68
611,,3.803433279259535,68,8,40,120,64
612,,2.650334796290164,64,4,36,144,68
614,,4.4322972054347805,64,4,40,120,68
616,,3.665962348794895,68,8,36,120,64
617,,2.6395693954056,64,28,40,120,68
618,,4.029164398200101,60,4,40,120,72
620,,4.029164398200101,60,4,40,120,72
622,,3.8859451537178207,64,8,40,120,64
623,,4.147616299781392,64,4,44,120,68
624,,4.4322972054347805,64,4,40,120,68
625,,3.877780763733148,60,8,36,120,64
626,,3.731209226530388,68,4,40,120,72
627,,3.7965564963625775,64,4,40,96,68
628,,2.71964828664774,64,8,44,120,68
629,,4.4322972054347805,64,4,40,120,68
630,,3.594832653791697,28,4,36,144,64
631,,3.623591742238158,60,8,40,120,72
632,,4.4322972054347805,64,4,40,120,68
633,,3.77196172743268,68,4,44,120,64
634,,4.391950886276888,64,4,36,120,68
635,,3.3467271669182987,68,8,40,120,72
636,,4.064303975328729,60,4,44,96,68
637,,4.391950886276888,64,4,36,120,68
638,,4.4322972054347805,64,4,40,120,68
640,,3.803433279259535,68,8,40,120,64
641,,4.029164398200101,60,4,40,120,72
642,,4.2600713381239865,72,4,44,120,68
643,,3.072455962408517,64,8,40,144,36
644,,4.391950886276888,64,4,36,120,68
645,,2.619654146833186,60,4,44,216,64
