number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
100,1.8922605289905445,1.9971780272154307,8.406411886741116,34.21052631578947,2023-12-06 10:27:28.310159,2023-12-06 10:27:28.511641,0 days 00:00:00.201482,8,40,92,1,COMPLETE
101,2.030803536679695,2.5056738234438476,7.9575040256993885,46.875,2023-12-06 10:27:28.512376,2023-12-06 10:27:28.710294,0 days 00:00:00.197918,56,40,172,1,COMPLETE
102,2.821606999180794,3.8922516112337204,12.466197211493737,37.5,2023-12-06 10:27:28.710974,2023-12-06 10:27:28.903233,0 days 00:00:00.192259,48,56,140,1,COMPLETE
103,-0.049426521385915044,0.8411694563418639,-0.4279418014146038,22.58064516129032,2023-12-06 10:27:28.903881,2023-12-06 10:27:29.125471,0 days 00:00:00.221590,72,40,8,2,COMPLETE
104,3.118719732928819,3.5798930222549523,16.202272598292012,42.857142857142854,2023-12-06 10:27:29.126129,2023-12-06 10:27:29.320233,0 days 00:00:00.194104,44,68,140,2,COMPLETE
105,-2.46070960109097,0.5862624257500855,-3.0664213366136712,36.61971830985916,2023-12-06 10:27:29.320867,2023-12-06 10:27:29.512803,0 days 00:00:00.191936,36,12,44,2,COMPLETE
106,2.9149806185421214,3.5495156468258333,16.62621482193607,35.294117647058826,2023-12-06 10:27:29.513419,2023-12-06 10:27:29.710115,0 days 00:00:00.196696,8,52,108,2,COMPLETE
107,2.887194544608988,3.420803905677792,16.842493614400773,45.45454545454545,2023-12-06 10:27:29.710838,2023-12-06 10:27:29.905421,0 days 00:00:00.194583,48,40,216,2,COMPLETE
108,,,,,2023-12-06 10:27:29.906125,2023-12-06 10:27:30.103033,0 days 00:00:00.196908,40,64,64,2,FAIL
109,2.831212805337516,2.9485564374374795,18.03875915328648,32.35294117647059,2023-12-06 10:27:30.104148,2023-12-06 10:27:30.301417,0 days 00:00:00.197269,8,40,184,2,COMPLETE
110,0.547097809411889,1.075405612983244,0.9551152262506551,26.785714285714285,2023-12-06 10:27:30.302069,2023-12-06 10:27:30.496831,0 days 00:00:00.194762,16,56,92,2,COMPLETE
111,2.338175170319991,3.4342319347616717,10.51279351876594,35.714285714285715,2023-12-06 10:27:30.497513,2023-12-06 10:27:30.691539,0 days 00:00:00.194026,68,56,200,2,COMPLETE
112,2.5326859655204195,2.930922111105829,14.90924022107138,50.0,2023-12-06 10:27:30.692269,2023-12-06 10:27:30.890555,0 days 00:00:00.198286,48,36,168,2,COMPLETE
113,2.4771314388050336,3.017369913259685,12.84280045341744,36.36363636363637,2023-12-06 10:27:30.891261,2023-12-06 10:27:31.087516,0 days 00:00:00.196255,72,40,152,2,COMPLETE
114,2.390115186522461,3.287702613110065,9.97101631280252,33.33333333333333,2023-12-06 10:27:31.088212,2023-12-06 10:27:31.284045,0 days 00:00:00.195833,64,56,156,2,COMPLETE
115,2.8399770543433247,2.414811743850596,24.8577016342119,45.28301886792453,2023-12-06 10:27:31.284719,2023-12-06 10:27:31.479188,0 days 00:00:00.194469,32,28,76,2,COMPLETE
116,2.5226920540031528,2.732118534776166,16.698185418652944,38.46153846153847,2023-12-06 10:27:31.479878,2023-12-06 10:27:31.674069,0 days 00:00:00.194191,8,4,152,2,COMPLETE
117,3.00942433014438,4.238468216610474,28.08364945647604,56.75675675675676,2023-12-06 10:27:31.674754,2023-12-06 10:27:31.868712,0 days 00:00:00.193958,64,12,164,2,COMPLETE
118,2.752767454212835,3.7451403436595165,13.29834144468001,33.33333333333333,2023-12-06 10:27:31.869449,2023-12-06 10:27:32.063688,0 days 00:00:00.194239,72,68,156,2,COMPLETE
