number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
86,-4.5162911342001175,0.40529724643177156,-2.4865578213314565,28.888888888888886,2023-12-06 10:18:44.277752,2023-12-06 10:18:44.484301,0 days 00:00:00.206549,1.508186285432992,40,72,4,1,COMPLETE
87,-1.478590119553282,0.7067822335377283,-2.128643424276972,31.506849315068493,2023-12-06 10:18:44.485229,2023-12-06 10:18:44.687093,0 days 00:00:00.201864,2.555884402376254,12,24,200,1,COMPLETE
88,0.38147366564395496,1.0376536964409508,0.5652049160518999,36.84210526315789,2023-12-06 10:18:44.687854,2023-12-06 10:18:44.882146,0 days 00:00:00.194292,1.549029498292291,52,24,144,1,COMPLETE
89,0.9795860272187982,1.159437363552164,1.8010451837007702,34.92063492063492,2023-12-06 10:18:44.882804,2023-12-06 10:18:45.078247,0 days 00:00:00.195443,2.5338040278789333,32,16,44,1,COMPLETE
90,1.6041967256447731,1.3846100684354579,2.2788717905645925,34.883720930232556,2023-12-06 10:18:45.078954,2023-12-06 10:18:45.276724,0 days 00:00:00.197770,2.2735967691762102,68,24,52,1,COMPLETE
91,2.382306065621426,1.4802078693913157,4.510143363594374,32.72727272727273,2023-12-06 10:18:45.277368,2023-12-06 10:18:45.472821,0 days 00:00:00.195453,2.2437881877707504,44,20,96,1,COMPLETE
92,2.7727963236947084,1.8691537536349834,6.616371794557126,51.162790697674424,2023-12-06 10:18:45.473717,2023-12-06 10:18:45.680993,0 days 00:00:00.207276,2.652695926980966,68,16,40,1,COMPLETE
93,0.8238044641623506,1.191539973873965,1.5937578538373365,45.0,2023-12-06 10:18:45.681783,2023-12-06 10:18:45.877426,0 days 00:00:00.195643,2.995500894740079,32,68,192,1,COMPLETE
94,1.7073679321165531,1.3475609781201203,3.4828271329592697,41.30434782608695,2023-12-06 10:18:45.878099,2023-12-06 10:18:46.072199,0 days 00:00:00.194100,2.9614209286070157,36,16,144,1,COMPLETE
95,1.053442613734875,1.1207621246043529,1.8753622861968735,38.84297520661157,2023-12-06 10:18:46.072863,2023-12-06 10:18:46.269019,0 days 00:00:00.196156,1.5338241135536586,44,28,44,1,COMPLETE
96,0.15285988347767912,1.0025106306757565,0.045248748038092854,29.47368421052631,2023-12-06 10:18:46.269717,2023-12-06 10:18:46.468082,0 days 00:00:00.198365,1.9352738184164553,52,60,88,1,COMPLETE
97,0.94412882228284,1.2800704659746813,2.36722935151654,41.66666666666667,2023-12-06 10:18:46.468786,2023-12-06 10:18:46.666649,0 days 00:00:00.197863,2.979373735449533,68,12,192,1,COMPLETE
98,1.3101042090350787,1.3717057183783807,2.789464465497364,34.146341463414636,2023-12-06 10:18:46.667375,2023-12-06 10:18:46.857265,0 days 00:00:00.189890,2.5981177254117966,60,64,120,1,COMPLETE
99,3.451697684277734,1.6364862689817647,10.426757069841859,38.80597014925373,2023-12-06 10:18:46.857912,2023-12-06 10:18:47.045932,0 days 00:00:00.188020,2.8834745634020846,28,16,72,1,COMPLETE
100,1.9207083732381762,1.8874204542301884,5.8362892219916604,40.0,2023-12-06 10:18:47.046552,2023-12-06 10:18:47.238568,0 days 00:00:00.192016,2.735074959919584,60,60,184,1,COMPLETE
101,2.0622702633116172,1.4867925167262652,6.853569735523631,37.28813559322034,2023-12-06 10:18:47.239207,2023-12-06 10:18:47.428876,0 days 00:00:00.189669,2.645059715201972,20,64,92,1,COMPLETE
102,3.775144950108674,2.29572967101316,16.422163001460156,42.22222222222222,2023-12-06 10:18:47.429591,2023-12-06 10:18:47.615266,0 days 00:00:00.185675,2.92795752543878,52,4,132,1,COMPLETE
103,1.9296517134060218,1.4871461883988424,5.13030641111542,52.17391304347826,2023-12-06 10:18:47.615880,2023-12-06 10:18:47.830105,0 days 00:00:00.214225,2.5338040278789333,32,36,156,2,COMPLETE
104,1.7073679321165531,1.3475609781201203,3.4828271329592697,41.30434782608695,2023-12-06 10:18:47.830772,2023-12-06 10:18:48.019517,0 days 00:00:00.188745,2.9614209286070157,36,16,144,2,COMPLETE
105,1.8287590217131988,1.5823191046843434,7.363859391585861,45.23809523809524,2023-12-06 10:18:48.020198,2023-12-06 10:18:48.211633,0 days 00:00:00.191435,2.5971245594065326,68,4,164,2,COMPLETE
106,0.8180862985672359,1.1122991866269862,1.3437100445495216,36.507936507936506,2023-12-06 10:18:48.212319,2023-12-06 10:18:48.402673,0 days 00:00:00.190354,2.695372037647425,32,12,44,2,COMPLETE
107,-0.8586129353643014,0.8054051378377536,-1.1439322061019592,40.54054054054054,2023-12-06 10:18:48.403536,2023-12-06 10:18:48.593602,0 days 00:00:00.190066,2.995500894740079,68,60,144,2,COMPLETE
108,1.3832156648947762,1.347819812339762,4.422864814761999,40.0,2023-12-06 10:18:48.594289,2023-12-06 10:18:48.782868,0 days 00:00:00.188579,2.348122393168626,56,8,24,2,COMPLETE
