number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_OI_window_rank,params_OI_window_rank_MA,params_RV_period,params_RV_window,system_attrs_nsga2:generation,state
91,-1.8682244698805957,0.6148947773325546,-1.4130318153606432,23.655913978494624,2023-12-05 23:54:11.384214,2023-12-05 23:54:11.591846,0 days 00:00:00.207632,2.528927746833519,44,72,88,32,192,240,64,1,COMPLETE
92,-1.5035237172217288,0.7218809299601713,-1.3380376952958768,28.804347826086957,2023-12-05 23:54:11.592525,2023-12-05 23:54:11.797609,0 days 00:00:00.205084,1.647818537618647,44,20,124,56,24,240,24,1,COMPLETE
93,0.9863566330326425,1.3145119664168814,1.4968307459362558,47.94520547945205,2023-12-05 23:54:11.798356,2023-12-05 23:54:12.002212,0 days 00:00:00.203856,2.7685139087971793,52,48,136,16,120,48,24,1,COMPLETE
94,0.8793909665693864,1.19717111924648,1.7794581984574118,34.285714285714285,2023-12-05 23:54:12.002954,2023-12-05 23:54:12.209648,0 days 00:00:00.206694,2.4994054890807345,64,8,72,24,24,144,32,1,COMPLETE
95,-0.6108635608861642,0.8507715543462673,-0.7225237788905853,29.03225806451613,2023-12-05 23:54:12.210453,2023-12-05 23:54:12.415264,0 days 00:00:00.204811,2.38740774119968,72,48,68,20,216,216,32,1,COMPLETE
96,1.1319946748958298,1.3332926749618157,2.3138512865728718,42.42424242424242,2023-12-05 23:54:12.416005,2023-12-05 23:54:12.622881,0 days 00:00:00.206876,2.289799270905152,28,44,188,12,120,192,20,1,COMPLETE
97,-0.44034241098401194,0.8633958765216446,-0.5236179006997259,30.681818181818183,2023-12-05 23:54:12.623697,2023-12-05 23:54:12.827421,0 days 00:00:00.203724,2.892380745211092,40,40,96,36,168,144,8,1,COMPLETE
98,-1.9834348472656236,0.6259950210199098,-1.495278234327138,35.3448275862069,2023-12-05 23:54:12.828097,2023-12-05 23:54:13.030934,0 days 00:00:00.202837,2.289799270905152,32,8,64,12,12,48,28,1,COMPLETE
99,0.019857105991316758,0.9746929865204543,-0.19997112297935538,29.56989247311828,2023-12-05 23:54:13.031662,2023-12-05 23:54:13.236707,0 days 00:00:00.205045,1.952441128593808,40,52,104,36,168,72,16,1,COMPLETE
100,1.15822078070236,1.3653641685748636,1.7722030183964614,42.42424242424242,2023-12-05 23:54:13.237593,2023-12-05 23:54:13.444196,0 days 00:00:00.206603,2.3996599142099577,24,24,196,48,36,72,36,1,COMPLETE
101,0.04287072621318252,0.9885490678010014,-0.12552988730077186,34.05797101449276,2023-12-05 23:54:13.444937,2023-12-05 23:54:13.648696,0 days 00:00:00.203759,1.783478151168132,68,8,140,52,180,240,72,1,COMPLETE
102,0.43710847543472975,1.1526213578277538,0.7625045552055043,34.090909090909086,2023-12-05 23:54:13.649512,2023-12-05 23:54:13.851681,0 days 00:00:00.202169,2.7348814902385596,24,20,128,12,192,24,20,1,COMPLETE
103,-0.41614331162865936,0.8556935432271634,-0.6896748206760791,33.33333333333333,2023-12-05 23:54:13.852379,2023-12-05 23:54:14.058508,0 days 00:00:00.206129,2.3723465300398536,32,68,32,60,12,168,56,1,COMPLETE
104,-0.05203405884933475,0.9211038055801951,-0.29864873192632746,34.78260869565217,2023-12-05 23:54:14.059250,2023-12-05 23:54:14.260083,0 days 00:00:00.200833,2.289799270905152,8,44,20,12,84,24,72,1,COMPLETE
105,0.4036761824354799,1.1021842751878483,0.4894065569280475,37.34939759036144,2023-12-05 23:54:14.260845,2023-12-05 23:54:14.465822,0 days 00:00:00.204977,2.086254226828143,64,4,212,32,96,192,20,1,COMPLETE
106,1.1494276978589493,1.1844253699552696,2.6905159042530293,38.095238095238095,2023-12-05 23:54:14.466533,2023-12-05 23:54:14.670369,0 days 00:00:00.203836,1.8184780194567147,40,8,208,24,24,144,56,1,COMPLETE
107,0.6834933612273655,1.188386999617563,1.015680993674061,41.284403669724774,2023-12-05 23:54:14.671215,2023-12-05 23:54:14.899036,0 days 00:00:00.227821,2.3996599142099577,28,24,188,56,168,192,20,2,COMPLETE
108,-1.2259430833638243,0.7471575780650002,-1.2439629323698989,27.82608695652174,2023-12-05 23:54:14.899735,2023-12-05 23:54:15.103782,0 days 00:00:00.204047,2.7685139087971793,12,48,136,32,60,192,68,2,COMPLETE
109,1.0007030174283487,1.3052736185828249,2.1931291141220743,39.77272727272727,2023-12-05 23:54:15.104602,2023-12-05 23:54:15.309938,0 days 00:00:00.205336,2.800590049162424,24,64,156,32,192,24,16,2,COMPLETE
110,1.6315764255828586,1.4349495763407658,4.412862158050172,40.65040650406504,2023-12-05 23:54:15.310687,2023-12-05 23:54:15.513153,0 days 00:00:00.202466,2.3723465300398536,12,8,136,72,60,48,24,2,COMPLETE
111,1.403934231918895,1.4835101367701353,3.1967723426387797,40.909090909090914,2023-12-05 23:54:15.513927,2023-12-05 23:54:15.718574,0 days 00:00:00.204647,2.800590049162424,40,64,156,32,60,144,32,2,COMPLETE
