number,value,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window,state
133,3.65680507023172,2023-12-07 13:35:00.470196,2023-12-07 13:35:00.679377,0 days 00:00:00.209181,48,20,56,120,16,COMPLETE
134,3.6985268871977155,2023-12-07 13:35:00.680180,2023-12-07 13:35:00.890398,0 days 00:00:00.210218,48,20,56,120,12,COMPLETE
135,3.551290717498292,2023-12-07 13:35:00.891145,2023-12-07 13:35:01.101168,0 days 00:00:00.210023,52,20,56,120,12,COMPLETE
136,1.8128912531074872,2023-12-07 13:35:01.102066,2023-12-07 13:35:01.318599,0 days 00:00:00.216533,56,16,60,120,8,COMPLETE
137,3.551290717498292,2023-12-07 13:35:01.319401,2023-12-07 13:35:01.529255,0 days 00:00:00.209854,52,20,56,120,12,COMPLETE
138,1.6375707300543971,2023-12-07 13:35:01.530029,2023-12-07 13:35:01.739493,0 days 00:00:00.209464,52,12,60,120,12,COMPLETE
139,1.2643590891183987,2023-12-07 13:35:01.740200,2023-12-07 13:35:01.955893,0 days 00:00:00.215693,52,16,56,120,12,COMPLETE
140,2.693231597567081,2023-12-07 13:35:01.956669,2023-12-07 13:35:02.168156,0 days 00:00:00.211487,56,20,60,120,12,COMPLETE
141,3.551290717498292,2023-12-07 13:35:02.168977,2023-12-07 13:35:02.378554,0 days 00:00:00.209577,52,20,56,120,12,COMPLETE
142,3.1653157922908197,2023-12-07 13:35:02.379321,2023-12-07 13:35:02.587680,0 days 00:00:00.208359,52,20,56,120,16,COMPLETE
143,3.907170400483192,2023-12-07 13:35:02.588541,2023-12-07 13:35:02.799576,0 days 00:00:00.211035,52,20,56,120,8,COMPLETE
144,2.5878072240662156,2023-12-07 13:35:02.800374,2023-12-07 13:35:03.011767,0 days 00:00:00.211393,60,20,56,120,8,COMPLETE
145,1.6126102116593948,2023-12-07 13:35:03.012564,2023-12-07 13:35:03.225135,0 days 00:00:00.212571,56,16,56,120,8,COMPLETE
146,3.365903076111016,2023-12-07 13:35:03.225951,2023-12-07 13:35:03.436464,0 days 00:00:00.210513,52,20,60,120,12,COMPLETE
147,2.6782760948676954,2023-12-07 13:35:03.437427,2023-12-07 13:35:03.826119,0 days 00:00:00.388692,52,20,64,120,4,COMPLETE
148,0.7534813286228907,2023-12-07 13:35:03.826869,2023-12-07 13:35:04.046571,0 days 00:00:00.219702,56,16,60,144,12,COMPLETE
149,1.6299118787947848,2023-12-07 13:35:04.047364,2023-12-07 13:35:04.264080,0 days 00:00:00.216716,52,16,60,120,8,COMPLETE
150,3.365903076111016,2023-12-07 13:35:04.264862,2023-12-07 13:35:04.482548,0 days 00:00:00.217686,52,20,60,120,12,COMPLETE
151,3.2792629643113673,2023-12-07 13:35:04.483287,2023-12-07 13:35:04.698382,0 days 00:00:00.215095,52,20,64,120,12,COMPLETE
152,2.8869508700530133,2023-12-07 13:35:04.699279,2023-12-07 13:35:04.917593,0 days 00:00:00.218314,56,20,64,120,12,COMPLETE
153,3.423346411869217,2023-12-07 13:35:04.918530,2023-12-07 13:35:05.133296,0 days 00:00:00.214766,52,20,64,120,8,COMPLETE
154,2.4790286088866846,2023-12-07 13:35:05.134036,2023-12-07 13:35:05.348848,0 days 00:00:00.214812,60,20,68,120,4,COMPLETE
155,3.423346411869217,2023-12-07 13:35:05.349818,2023-12-07 13:35:05.567296,0 days 00:00:00.217478,52,20,64,120,8,COMPLETE
156,2.201972144847198,2023-12-07 13:35:05.568078,2023-12-07 13:35:05.783858,0 days 00:00:00.215780,56,16,64,120,8,COMPLETE
157,1.3937860072189532,2023-12-07 13:35:05.784853,2023-12-07 13:35:05.997374,0 days 00:00:00.212521,52,12,64,120,12,COMPLETE
158,1.9649279681854448,2023-12-07 13:35:05.998133,2023-12-07 13:35:06.212418,0 days 00:00:00.214285,48,16,68,144,8,COMPLETE
159,2.6782760948676954,2023-12-07 13:35:06.213200,2023-12-07 13:35:06.426760,0 days 00:00:00.213560,52,20,64,120,4,COMPLETE
160,3.429412531632156,2023-12-07 13:35:06.427779,2023-12-07 13:35:06.642736,0 days 00:00:00.214957,52,20,68,120,12,COMPLETE
161,3.429412531632156,2023-12-07 13:35:06.643591,2023-12-07 13:35:06.859090,0 days 00:00:00.215499,52,20,68,120,12,COMPLETE
162,3.429412531632156,2023-12-07 13:35:06.859853,2023-12-07 13:35:07.073868,0 days 00:00:00.214015,52,20,68,120,12,COMPLETE
163,3.292151420909032,2023-12-07 13:35:07.074620,2023-12-07 13:35:07.287923,0 days 00:00:00.213303,52,16,68,120,8,COMPLETE
164,3.0312466603771817,2023-12-07 13:35:07.288735,2023-12-07 13:35:07.502812,0 days 00:00:00.214077,52,16,72,120,8,COMPLETE
165,2.5710455398081407,2023-12-07 13:35:07.503697,2023-12-07 13:35:07.717972,0 days 00:00:00.214275,56,16,68,120,12,COMPLETE
166,3.38595156798779,2023-12-07 13:35:07.718899,2023-12-07 13:35:07.932898,0 days 00:00:00.213999,52,20,68,120,8,COMPLETE
167,2.6905773310382988,2023-12-07 13:35:07.933685,2023-12-07 13:35:08.147548,0 days 00:00:00.213863,56,20,68,120,8,COMPLETE
168,3.3147050875300716,2023-12-07 13:35:08.148293,2023-12-07 13:35:08.364753,0 days 00:00:00.216460,52,20,68,144,12,COMPLETE
169,1.7916877923724823,2023-12-07 13:35:08.365632,2023-12-07 13:35:08.577850,0 days 00:00:00.212218,56,20,72,144,12,COMPLETE
170,2.891034911938377,2023-12-07 13:35:08.578763,2023-12-07 13:35:08.792345,0 days 00:00:00.213582,52,20,72,144,12,COMPLETE
171,3.292151420909032,2023-12-07 13:35:08.793117,2023-12-07 13:35:09.006896,0 days 00:00:00.213779,52,16,68,120,8,COMPLETE
172,3.38595156798779,2023-12-07 13:35:09.007667,2023-12-07 13:35:09.221523,0 days 00:00:00.213856,52,20,68,120,8,COMPLETE
173,3.38595156798779,2023-12-07 13:35:09.222355,2023-12-07 13:35:09.434350,0 days 00:00:00.211995,52,20,68,120,8,COMPLETE
174,3.2534113797517095,2023-12-07 13:35:09.435308,2023-12-07 13:35:09.648538,0 days 00:00:00.213230,52,20,68,120,4,COMPLETE
175,2.4935086857241835,2023-12-07 13:35:09.649517,2023-12-07 13:35:09.861377,0 days 00:00:00.211860,56,20,72,120,8,COMPLETE
176,3.1873605363652544,2023-12-07 13:35:09.862209,2023-12-07 13:35:10.076570,0 days 00:00:00.214361,48,20,68,120,4,COMPLETE
177,2.8941477283441768,2023-12-07 13:35:10.077419,2023-12-07 13:35:10.290516,0 days 00:00:00.213097,52,16,64,120,12,COMPLETE
178,1.5718012077070258,2023-12-07 13:35:10.291260,2023-12-07 13:35:10.504273,0 days 00:00:00.213013,56,20,72,120,16,COMPLETE
